"","ID","lake","goby","point","pointL","x","y"
"285","MIS20_G20_L2.JPG ","MIS20","G20",9,"I",34.710725224,11.9178978407
"286","MIS20_G20_L2.JPG ","MIS20","G20",10,"J",29.138497544,14.1069893208
"287","MIS20_G20_L2.JPG ","MIS20","G20",11,"K",27.944446495,16.296076054
"288","MIS20_G20_L2.JPG ","MIS20","G20",12,"L",23.566269864,16.495081925
"289","MIS20_G21_L2.JPG ","MIS20","G21",1,"A",29.262517361,19.6818997584
"290","MIS20_G21_L2.JPG ","MIS20","G21",2,"B",29.691096283,21.3961927294
"291","MIS20_G21_L2.JPG ","MIS20","G21",3,"C",37.262536081,25.967643681
"292","MIS20_G21_L2.JPG ","MIS20","G21",4,"D",41.405412654,25.110485837
"293","MIS20_G21_L2.JPG ","MIS20","G21",5,"E",42.119703285,28.967650701
"294","MIS20_G21_L2.JPG ","MIS20","G21",6,"F",55.262600918,30.539076459
"295","MIS20_G21_L2.JPG ","MIS20","G21",7,"G",55.262600918,23.396192866
"296","MIS20_G21_L2.JPG ","MIS20","G21",8,"H",53.976886869,8.3961532226
"297","MIS20_G21_L2.JPG ","MIS20","G21",9,"I",44.262575178,12.5390229805
"298","MIS20_G21_L2.JPG ","MIS20","G21",10,"J",38.691117343,14.5390276605
"299","MIS20_G21_L2.JPG ","MIS20","G21",11,"K",36.405400954,17.2533229715
"300","MIS20_G21_L2.JPG ","MIS20","G21",12,"L",29.405384574,17.9676090591
"301","MIS20_G22_L2.JPG ","MIS20","G22",1,"A",28.729182196,24.096231159
"302","MIS20_G22_L2.JPG ","MIS20","G22",2,"B",29.229168254,25.721195786
"303","MIS20_G22_L2.JPG ","MIS20","G22",3,"C",36.229052574,30.221129939
"304","MIS20_G22_L2.JPG ","MIS20","G22",4,"D",40.103994216,29.721143881
"305","MIS20_G22_L2.JPG ","MIS20","G22",5,"E",40.728986727,33.221086041
"306","MIS20_G22_L2.JPG ","MIS20","G22",6,"F",52.978784287,35.22105015
"307","MIS20_G22_L2.JPG ","MIS20","G22",7,"G",53.853769827,29.471150852
"308","MIS20_G22_L2.JPG ","MIS20","G22",8,"H",52.603804682,13.8463917449
"309","MIS20_G22_L2.JPG ","MIS20","G22",9,"I",43.4789498,18.2213234203
"310","MIS20_G22_L2.JPG ","MIS20","G22",10,"J",36.729038632,20.471282546
"311","MIS20_G22_L2.JPG ","MIS20","G22",11,"K",34.604087947,23.221245619
